raw_score,cognitive,receptive_language,expressive_language,social_emotional,gross_motor,fine_motor,adaptive_behavior
0,<50,<50,<50,<50,<50,<50,<50
1,<50,<50,<50,<50,<50,50,<50
2,<50,<50,50,<50,<50,52,<50
3,<50,<50,54,<50,<50,55,<50
4,<50,50,57,50,<50,57,<50
5,<50,53,61,51,<50,60,<50
6,<50,57,64,53,<50,63,<50
7,<50,61,68,54,<50,66,50
8,<50,65,71,56,<50,68,52
9,<50,69,74,58,<50,71,55
10,<50,73,78,61,<50,74,57
11,50,77,81,63,<50,76,60
12,53,81,84,65,<50,79,62
13,55,85,88,67,<50,82,65
14,58,88,91,68,<50,84,67
15,60,92,95,71,<50,87,70
16,63,96,98,73,<50,90,73
17,65,100,101,75,50,92,76
18,67,104,105,77,52,95,78
19,70,108,108,79,54,100,81
20,72,112,112,81,57,105,84
21,75,116,115,83,59,107,87
22,77,119,118,85,61,110,91
23,79,123,122,87,63,113,94
24,82,127,125,89,66,115,98
25,84,131,128,91,68,118,101
26,87,135,132,93,70,121,104
27,89,138,135,95,72,123,107
28,92,141,139,98,75,126,110
29,94,143,142,100,77,129,115
30,96,147,145,102,79,132,117
31,101,150,148,104,82,134,120
32,103,>150,150,106,84,137,122
33,106,>150,>150,108,86,140,125
34,108,>150,>150,110,88,-,128
35,111,>150,>150,112,91,-,130
36,113,>150,>150,114,93,-,132
37,115,>150,>150,116,95,-,135
38,118,-,>150,118,98,-,138
39,120,-,>150,121,102,-,140
40,123,-,>150,124,106,-,142
41,125,-,>150,126,108,-,145
42,128,-,-,128,111,-,147
43,131,-,-,130,113,-,150
44,134,-,-,132,115,-,>150
45,136,-,-,133,119,-,>150
46,137,-,-,135,122,-,>150
47,140,-,-,137,124,-,>150
48,142,-,-,139,126,-,>150
49,144,-,-,140,129,-,>150
50,147,-,-,142,131,-,>150
51,149,-,-,144,133,-,>150
52,150,-,-,146,136,-,>150
53,>150,-,-,148,138,-,>150
54,>150,-,-,150,140,-,>150
