raw_score,cognitive,receptive_language,expressive_language,social_emotional,gross_motor,fine_motor,adaptive_behavior
0,<50,<50,<50,<50,<50,<50,<50
1,<50,<50,<50,<50,<50,<50,<50
2,<50,<50,<50,<50,<50,<50,<50
3,<50,<50,<50,<50,<50,<50,<50
4,<50,<50,<50,<50,<50,<50,<50
5,<50,<50,<50,<50,<50,<50,<50
6,<50,<50,<50,<50,<50,<50,<50
7,<50,<50,50,<50,<50,50,<50
8,<50,<50,51,50,<50,51,<50
9,<50,50,54,51,<50,54,<50
10,<50,52,56,52,<50,58,50
11,<50,55,59,54,<50,61,51
12,<50,58,62,55,<50,65,53
13,50,61,64,57,<50,69,55
14,52,64,67,58,<50,72,57
15,54,67,69,60,<50,76,59
16,55,70,72,61,<50,79,61
17,57,73,74,63,<50,83,62
18,58,76,77,65,<50,87,64
19,60,79,79,66,<50,90,66
20,62,82,82,68,<50,94,68
21,63,85,84,69,<50,97,70
22,65,88,87,71,<50,101,71
23,66,91,89,72,<50,105,73
24,68,94,92,74,<50,108,75
25,70,97,95,75,<50,112,77
26,71,100,97,77,50,115,79
27,73,103,100,78,51,119,80
28,74,106,102,80,53,122,82
29,76,109,105,81,56,124,84
30,78,112,107,83,59,129,86
31,79,115,110,84,62,130,88
32,81,118,112,86,65,133,90
33,82,121,115,87,68,135,91
34,84,124,117,89,70,-,93
35,86,127,120,90,73,-,95
36,87,130,122,92,76,-,97
37,89,133,125,93,79,-,99
38,90,-,127,95,82,-,100
39,92,-,130,96,85,-,102
40,94,-,133,98,88,-,104
41,95,-,135,100,90,-,106
42,97,-,-,101,93,-,108
43,98,-,-,103,99,-,109
44,100,-,-,104,105,-,111
45,101,-,-,106,108,-,113
46,103,-,-,107,111,-,115
47,105,-,-,109,113,-,117
48,106,-,-,110,116,-,118
49,108,-,-,112,119,-,120
50,109,-,-,113,122,-,122
51,111,-,-,115,125,-,124
52,113,-,-,116,128,-,126
53,114,-,-,118,130,-,128
54,116,-,-,119,133,-,129
55,117,-,-,121,-,-,131
56,119,-,-,122,-,-,133
57,121,-,-,124,-,-,135
58,122,-,-,125,-,-,137
59,124,-,-,127,-,-,138
60,125,-,-,128,-,-,140
61,127,-,-,130,-,-,142
62,129,-,-,131,-,-,144
63,130,-,-,133,-,-,146
64,132,-,-,134,-,-,147
65,133,-,-,-,-,-,-
66,135,-,-,-,-,-,-
67,137,-,-,-,-,-,-
68,138,-,-,-,-,-,-
69,140,-,-,-,-,-,-
70,141,-,-,-,-,-,-
71,143,-,-,-,-,-,-
72,145,-,-,-,-,-,-
73,146,-,-,-,-,-,-
74,148,-,-,-,-,-,-
75,149,-,-,-,-,-,-
76,150,-,-,-,-,-,-
