raw_score,cognitive,receptive_language,expressive_language,social_emotional,gross_motor,fine_motor,adaptive_behavior
0,<50,<50,<50,<50,<50,<50,<50
1,<50,<50,<50,<50,<50,<50,<50
2,<50,<50,<50,<50,<50,<50,<50
3,<50,<50,<50,<50,<50,<50,<50
4,<50,<50,<50,<50,<50,<50,<50
5,<50,<50,<50,<50,<50,<50,<50
6,<50,<50,<50,<50,<50,<50,<50
7,<50,<50,<50,<50,<50,<50,<50
8,<50,<50,<50,<50,<50,<50,<50
9,<50,<50,<50,<50,<50,<50,<50
10,<50,<50,<50,<50,<50,<50,<50
11,<50,<50,<50,<50,<50,<50,<50
12,<50,<50,<50,<50,<50,<50,<50
13,<50,<50,<50,<50,<50,<50,<50
14,<50,<50,<50,<50,<50,<50,<50
15,<50,<50,<50,<50,<50,50,<50
16,<50,<50,<50,<50,<50,51,<50
17,<50,50,50,<50,<50,52,<50
18,<50,53,52,<50,<50,56,<50
19,<50,57,55,<50,<50,61,<50
20,<50,60,58,<50,<50,66,<50
21,<50,64,59,50,<50,71,<50
22,<50,67,63,51,<50,75,50
23,<50,71,65,53,<50,80,52
24,<50,74,68,54,<50,85,54
25,<50,77,72,56,<50,89,56
26,<50,81,75,58,<50,94,57
27,50,85,78,59,<50,99,59
28,51,88,81,61,<50,104,61
29,52,91,84,62,<50,108,63
30,54,95,87,64,<50,113,64
31,55,100,90,66,<50,118,66
32,56,106,93,67,<50,123,68
33,58,109,96,69,<50,126,70
34,59,113,99,70,50,-,71
35,61,116,102,72,51,-,73
36,62,119,105,73,55,-,75
37,64,124,107,75,59,-,77
38,65,-,110,77,63,-,78
39,66,-,113,78,66,-,80
40,68,-,116,80,70,-,82
41,69,-,119,81,74,-,84
42,71,-,-,83,77,-,85
43,72,-,-,85,81,-,87
44,74,-,-,86,85,-,89
45,75,-,-,88,89,-,91
46,76,-,-,89,93,-,92
47,78,-,-,91,99,-,94
48,79,-,-,93,102,-,96
49,81,-,-,94,106,-,98
50,82,-,-,96,110,-,99
51,84,-,-,97,114,-,101
52,85,-,-,100,118,-,103
53,86,-,-,104,121,-,105
54,88,-,-,105,124,-,106
55,89,-,-,107,-,-,108
56,91,-,-,108,-,-,110
57,92,-,-,110,-,-,112
58,94,-,-,112,-,-,113
59,95,-,-,113,-,-,115
60,96,-,-,115,-,-,117
61,98,-,-,116,-,-,119
62,99,-,-,118,-,-,120
63,101,-,-,120,-,-,122
64,102,-,-,-,-,-,124
65,104,-,-,-,-,-,-
66,105,-,-,-,-,-,-
67,106,-,-,-,-,-,-
68,108,-,-,-,-,-,-
69,109,-,-,-,-,-,-
70,111,-,-,-,-,-,-
71,112,-,-,-,-,-,-
72,114,-,-,-,-,-,-
73,115,-,-,-,-,-,-
74,116,-,-,-,-,-,-
75,118,-,-,-,-,-,-
76,119,-,-,-,-,-,-
77,121,-,-,-,-,-,-
78,122,-,-,-,-,-,-
79,124,-,-,-,-,-,-
80,125,-,-,-,-,-,-
81,126,-,-,-,-,-,-
82,128,-,-,-,-,-,-
83,129,-,-,-,-,-,-
84,131,-,-,-,-,-,-
85,132,-,-,-,-,-,-
86,134,-,-,-,-,-,-
87,135,-,-,-,-,-,-
88,136,-,-,-,-,-,-
