raw_score,cognitive,receptive_language,expressive_language,social_emotional,gross_motor,fine_motor,adaptive_behavior
0,<50,<50,<50,<50,<50,<50,<50
1,<50,<50,<50,<50,<50,<50,<50
2,<50,<50,<50,<50,<50,<50,<50
3,<50,<50,<50,<50,<50,<50,<50
4,<50,<50,<50,<50,<50,<50,<50
5,<50,<50,<50,<50,<50,<50,<50
6,<50,<50,50,<50,<50,50,<50
7,<50,50,52,50,<50,53,<50
8,<50,51,55,51,<50,56,<50
9,<50,54,57,53,<50,59,50
10,<50,57,60,54,<50,63,52
11,<50,60,63,56,<50,66,53
12,50,63,65,57,<50,69,55
13,52,66,68,59,<50,73,57
14,54,69,70,61,<50,76,59
15,56,72,73,62,<50,79,61
16,57,75,76,64,<50,83,63
17,59,78,78,65,<50,86,65
18,61,81,81,67,<50,89,67
19,62,84,84,68,<50,93,69
20,64,88,86,70,<50,96,71
21,66,91,89,72,<50,99,73
22,67,94,91,73,<50,103,75
23,69,97,94,75,<50,106,76
24,71,100,97,76,<50,109,78
25,73,103,99,78,50,113,80
26,74,106,102,80,52,116,82
27,76,109,104,81,55,119,84
28,78,112,107,83,58,122,86
29,79,115,110,84,60,125,88
30,81,118,112,86,63,129,90
31,83,121,115,87,66,131,92
32,84,124,117,89,68,134,94
33,86,127,120,91,71,136,96
34,88,131,123,92,74,-,98
35,89,134,125,94,76,-,99
36,91,137,128,95,79,-,101
37,93,140,130,97,82,-,103
38,95,-,133,98,84,-,105
39,96,-,136,100,87,-,107
40,98,-,138,102,90,-,109
41,100,-,141,103,93,-,111
42,101,-,-,105,95,-,113
43,103,-,-,106,102,-,115
44,105,-,-,108,107,-,117
45,106,-,-,109,109,-,119
46,108,-,-,111,112,-,121
47,110,-,-,113,115,-,124
48,112,-,-,114,117,-,126
49,113,-,-,116,120,-,128
50,115,-,-,117,123,-,129
51,117,-,-,119,125,-,132
52,118,-,-,120,128,-,134
53,120,-,-,122,130,-,136
54,122,-,-,124,133,-,137
55,123,-,-,125,-,-,139
56,125,-,-,127,-,-,140
57,127,-,-,128,-,-,142
58,128,-,-,130,-,-,144
59,130,-,-,131,-,-,145
60,132,-,-,133,-,-,147
61,134,-,-,135,-,-,149
62,135,-,-,136,-,-,150
63,137,-,-,138,-,-,>150
64,139,-,-,-,-,-,>150
65,140,-,-,-,-,-,-
66,142,-,-,-,-,-,-
67,144,-,-,-,-,-,-
68,145,-,-,-,-,-,-
69,147,-,-,-,-,-,-
70,149,-,-,-,-,-,-
71,150,-,-,-,-,-,-
72,>150,-,-,-,-,-,-
