raw_score,cognitive,receptive_language,expressive_language,social_emotional,gross_motor,fine_motor,adaptive_behavior
0,<50,<50,<50,<50,<50,<50,<50
1,<50,<50,<50,<50,<50,<50,<50
2,<50,<50,<50,<50,<50,<50,<50
3,<50,<50,<50,<50,<50,<50,<50
4,<50,<50,<50,<50,<50,<50,<50
5,<50,<50,<50,<50,<50,<50,<50
6,<50,<50,<50,<50,<50,<50,<50
7,<50,<50,<50,<50,<50,<50,<50
8,<50,<50,<50,<50,<50,<50,<50
9,<50,<50,50,<50,<50,50,<50
10,<50,50,53,50,<50,52,<50
11,<50,53,55,51,<50,56,50
12,<50,56,58,53,<50,60,51
13,<50,59,60,54,<50,64,53
14,50,62,63,56,<50,68,54
15,51,64,65,57,<50,72,56
16,53,67,68,59,<50,75,58
17,54,70,70,60,<50,79,60
18,56,73,73,62,<50,83,61
19,57,76,75,63,<50,87,63
20,59,79,78,65,<50,91,65
21,60,82,80,66,<50,95,66
22,62,85,83,68,<50,99,68
23,63,88,85,69,<50,103,70
24,65,91,88,71,<50,106,72
25,66,94,90,72,<50,110,73
26,68,97,93,74,<50,114,75
27,69,100,95,75,<50,118,77
28,71,103,98,77,50,122,79
29,72,106,100,78,52,124,80
30,74,109,103,80,55,128,82
31,75,112,105,81,58,130,84
32,77,115,108,83,61,133,86
33,79,118,110,84,64,134,87
34,80,121,113,86,67,-,89
35,82,124,115,87,70,-,91
36,83,127,118,89,73,-,93
37,85,130,120,90,76,-,94
38,86,-,123,92,79,-,96
39,88,-,125,93,82,-,98
40,89,-,128,95,85,-,99
41,91,-,130,96,88,-,101
42,92,-,-,98,91,-,103
43,94,-,-,99,94,-,105
44,95,-,-,101,100,-,106
45,97,-,-,102,106,-,108
46,98,-,-,104,109,-,110
47,100,-,-,105,112,-,112
48,101,-,-,107,115,-,113
49,103,-,-,108,118,-,115
50,104,-,-,110,121,-,117
51,106,-,-,111,124,-,119
52,107,-,-,113,127,-,120
53,109,-,-,114,130,-,122
54,110,-,-,116,133,-,124
55,112,-,-,117,-,-,125
56,113,-,-,119,-,-,127
57,115,-,-,120,-,-,129
58,116,-,-,121,-,-,131
59,118,-,-,123,-,-,132
60,119,-,-,124,-,-,134
61,121,-,-,126,-,-,136
62,123,-,-,127,-,-,138
63,124,-,-,129,-,-,139
64,126,-,-,-,-,-,141
65,127,-,-,-,-,-,142
66,129,-,-,-,-,-,144
67,130,-,-,-,-,-,145
68,132,-,-,-,-,-,147
69,133,-,-,-,-,-,148
70,135,-,-,-,-,-,150
71,136,-,-,-,-,-,>150
72,138,-,-,-,-,-,>150
73,139,-,-,-,-,-,>150
74,141,-,-,-,-,-,>150
75,142,-,-,-,-,-,>150
76,144,-,-,-,-,-,>150
77,145,-,-,-,-,-,>150
78,147,-,-,-,-,-,>150
79,148,-,-,-,-,-,>150
80,150,-,-,-,-,-,>150
