raw_score,cognitive,receptive_language,expressive_language,social_emotional,gross_motor,fine_motor,adaptive_behavior
0,<50,<50,<50,<50,<50,<50,<50
1,<50,<50,<50,<50,<50,<50,<50
2,<50,<50,<50,<50,<50,<50,<50
3,<50,<50,<50,<50,<50,<50,<50
4,<50,<50,<50,<50,<50,<50,<50
5,<50,<50,<50,<50,<50,<50,<50
6,<50,<50,<50,<50,<50,<50,<50
7,<50,<50,<50,<50,<50,<50,<50
8,<50,<50,<50,<50,<50,<50,<50
9,<50,<50,<50,<50,<50,<50,<50
10,<50,<50,<50,<50,<50,<50,<50
11,<50,<50,<50,<50,<50,<50,<50
12,<50,<50,<50,<50,<50,<50,<50
13,<50,<50,<50,<50,<50,<50,<50
14,<50,<50,<50,<50,<50,<50,<50
15,<50,<50,<50,<50,<50,<50,<50
16,<50,<50,<50,<50,<50,<50,<50
17,<50,<50,<50,<50,<50,<50,<50
18,<50,50,<50,<50,<50,50,<50
19,<50,52,<50,<50,<50,54,<50
20,<50,54,<50,<50,<50,58,<50
21,<50,56,50,<50,<50,63,<50
22,<50,58,54,<50,<50,68,<50
23,<50,62,57,<50,<50,72,<50
24,<50,66,60,<50,<50,77,<50
25,<50,68,64,50,<50,82,<50
26,<50,72,67,51,<50,87,50
27,<50,76,70,53,<50,91,52
28,<50,81,73,55,<50,96,54
29,<50,86,75,56,<50,101,56
30,<50,90,80,58,<50,105,58
31,<50,94,83,60,<50,110,60
32,<50,99,87,62,<50,116,61
33,50,105,90,63,<50,119,63
34,51,109,93,65,<50,-,65
35,53,113,97,67,<50,-,67
36,54,118,100,68,50,-,69
37,56,121,103,70,53,-,71
38,57,-,106,72,57,-,73
39,59,-,110,73,61,-,74
40,60,-,113,75,65,-,76
41,61,-,116,77,69,-,78
42,63,-,-,79,73,-,80
43,64,-,-,80,76,-,82
44,66,-,-,82,80,-,84
45,67,-,-,84,84,-,86
46,69,-,-,85,88,-,87
47,70,-,-,87,92,-,89
48,72,-,-,89,95,-,91
49,73,-,-,91,100,-,93
50,75,-,-,92,105,-,95
51,76,-,-,94,109,-,97
52,78,-,-,96,113,-,99
53,79,-,-,97,117,-,101
54,81,-,-,100,120,-,102
55,82,-,-,103,-,-,104
56,83,-,-,105,-,-,106
57,85,-,-,106,-,-,108
58,86,-,-,108,-,-,110
59,88,-,-,110,-,-,112
60,89,-,-,111,-,-,114
61,91,-,-,113,-,-,115
62,92,-,-,115,-,-,117
63,94,-,-,117,-,-,119
64,95,-,-,-,-,-,121
65,97,-,-,-,-,-,-
66,98,-,-,-,-,-,-
67,100,-,-,-,-,-,-
68,101,-,-,-,-,-,-
69,102,-,-,-,-,-,-
70,104,-,-,-,-,-,-
71,105,-,-,-,-,-,-
72,107,-,-,-,-,-,-
73,108,-,-,-,-,-,-
74,110,-,-,-,-,-,-
75,111,-,-,-,-,-,-
76,113,-,-,-,-,-,-
77,114,-,-,-,-,-,-
78,116,-,-,-,-,-,-
79,117,-,-,-,-,-,-
80,119,-,-,-,-,-,-
81,120,-,-,-,-,-,-
82,122,-,-,-,-,-,-
83,123,-,-,-,-,-,-
84,124,-,-,-,-,-,-
85,126,-,-,-,-,-,-
86,127,-,-,-,-,-,-
87,129,-,-,-,-,-,-
88,130,-,-,-,-,-,-
