raw_score,cognitive,receptive_language,expressive_language,social_emotional,gross_motor,fine_motor,adaptive_behavior
0,<50,<50,<50,<50,<50,<50,<50
1,<50,<50,<50,<50,<50,<50,<50
2,<50,<50,<50,<50,<50,<50,<50
3,<50,<50,<50,<50,<50,<50,<50
4,<50,<50,50,<50,<50,50,<50
5,<50,<50,51,<50,<50,51,<50
6,<50,<50,53,50,<50,54,<50
7,<50,50,56,51,<50,57,<50
8,<50,54,59,53,<50,60,50
9,<50,57,62,54,<50,63,51
10,<50,60,64,56,<50,66,53
11,<50,63,67,58,<50,70,55
12,50,66,70,59,<50,73,57
13,52,70,73,61,<50,76,59
14,54,73,75,63,<50,79,61
15,56,76,78,64,<50,82,63
16,58,79,81,66,<50,85,65
17,60,82,83,68,<50,87,67
18,62,86,86,69,<50,90,70
19,63,89,89,71,<50,94,72
20,65,92,92,73,<50,98,74
21,67,95,94,74,<50,101,76
22,69,98,97,76,<50,104,78
23,71,101,100,77,50,107,80
24,73,105,103,79,51,110,82
25,74,108,105,81,54,113,84
26,76,111,108,82,56,117,86
27,78,114,111,84,59,119,88
28,80,117,113,86,62,122,90
29,82,121,116,87,64,125,92
30,83,124,119,89,67,129,94
31,85,127,122,91,69,131,96
32,87,130,124,92,72,134,98
33,89,133,127,94,74,137,100
34,91,137,130,96,77,-,103
35,93,140,133,97,79,-,105
36,94,143,135,99,82,-,107
37,96,146,138,101,85,-,109
38,100,-,141,102,87,-,111
39,102,-,143,104,90,-,113
40,104,-,146,106,92,-,115
41,106,-,150,107,95,-,119
42,107,-,-,109,100,-,121
43,109,-,-,110,106,-,123
44,111,-,-,112,108,-,125
45,113,-,-,114,111,-,127
46,115,-,-,115,114,-,129
47,116,-,-,117,116,-,132
48,118,-,-,119,119,-,134
49,120,-,-,120,121,-,136
50,122,-,-,122,124,-,138
51,124,-,-,124,126,-,141
52,126,-,-,125,129,-,142
53,127,-,-,127,131,-,144
54,129,-,-,129,134,-,145
55,131,-,-,130,-,-,146
56,133,-,-,132,-,-,148
57,135,-,-,134,-,-,150
58,137,-,-,135,-,-,>150
59,138,-,-,137,-,-,>150
60,140,-,-,138,-,-,>150
61,142,-,-,140,-,-,>150
62,144,-,-,142,-,-,>150
63,146,-,-,143,-,-,>150
64,147,-,-,-,-,-,>150
65,149,-,-,-,-,-,-
66,150,-,-,-,-,-,-
