raw_score,cognitive,receptive_language,expressive_language,social_emotional,gross_motor,fine_motor,adaptive_behavior
0,<50,<50,<50,<50,<50,<50,<50
1,<50,<50,<50,<50,<50,<50,<50
2,<50,<50,<50,<50,<50,<50,<50
3,<50,<50,<50,<50,<50,<50,<50
4,<50,<50,<50,<50,<50,<50,<50
5,<50,<50,<50,<50,<50,<50,<50
6,<50,<50,<50,<50,<50,<50,<50
7,<50,<50,<50,<50,<50,<50,<50
8,<50,<50,<50,<50,<50,<50,<50
9,<50,<50,<50,<50,<50,<50,<50
10,<50,<50,<50,<50,<50,<50,<50
11,<50,<50,<50,<50,<50,<50,<50
12,<50,<50,<50,<50,<50,<50,<50
13,<50,<50,<50,<50,<50,<50,<50
14,<50,<50,<50,<50,<50,<50,<50
15,<50,<50,<50,<50,<50,<50,<50
16,<50,<50,<50,<50,<50,<50,<50
17,<50,<50,<50,<50,<50,<50,<50
18,<50,<50,<50,<50,<50,<50,<50
19,<50,<50,<50,<50,<50,50,<50
20,<50,50,<50,<50,<50,53,<50
21,<50,52,<50,<50,<50,58,<50
22,<50,54,<50,<50,<50,62,<50
23,<50,56,50,<50,<50,67,<50
24,<50,57,52,<50,<50,71,<50
25,<50,59,55,<50,<50,76,<50
26,<50,63,58,<50,<50,80,<50
27,<50,67,62,<50,<50,85,<50
28,<50,72,64,<50,<50,89,<50
29,<50,77,66,50,<50,94,<50
30,<50,81,71,51,<50,98,50
31,<50,86,75,53,<50,103,52
32,<50,91,78,55,<50,107,54
33,<50,98,82,57,<50,112,56
34,<50,105,88,58,<50,-,58
35,<50,109,92,60,<50,-,60
36,<50,115,95,62,<50,-,62
37,<50,117,99,63,50,-,64
38,50,-,103,65,53,-,66
39,51,-,107,67,57,-,68
40,52,-,111,69,61,-,70
41,53,-,115,71,65,-,72
42,54,-,-,73,68,-,74
43,55,-,-,75,72,-,76
44,57,-,-,77,76,-,78
45,58,-,-,79,80,-,80
46,60,-,-,81,84,-,82
47,61,-,-,83,87,-,84
48,63,-,-,85,91,-,86
49,64,-,-,87,95,-,88
50,66,-,-,89,100,-,91
51,67,-,-,91,105,-,93
52,69,-,-,93,108,-,95
53,70,-,-,95,116,-,97
54,72,-,-,97,118,-,99
55,74,-,-,99,-,-,101
56,75,-,-,100,-,-,103
57,76,-,-,102,-,-,105
58,78,-,-,104,-,-,107
59,79,-,-,106,-,-,109
60,81,-,-,108,-,-,111
61,82,-,-,110,-,-,113
62,84,-,-,112,-,-,115
63,85,-,-,114,-,-,117
64,87,-,-,-,-,-,119
65,88,-,-,-,-,-,-
66,90,-,-,-,-,-,-
67,91,-,-,-,-,-,-
68,93,-,-,-,-,-,-
69,94,-,-,-,-,-,-
70,96,-,-,-,-,-,-
71,98,-,-,-,-,-,-
72,99,-,-,-,-,-,-
73,101,-,-,-,-,-,-
74,102,-,-,-,-,-,-
75,104,-,-,-,-,-,-
76,105,-,-,-,-,-,-
77,107,-,-,-,-,-,-
78,108,-,-,-,-,-,-
79,110,-,-,-,-,-,-
80,111,-,-,-,-,-,-
81,113,-,-,-,-,-,-
82,114,-,-,-,-,-,-
83,116,-,-,-,-,-,-
84,118,-,-,-,-,-,-
85,119,-,-,-,-,-,-
86,121,-,-,-,-,-,-
87,122,-,-,-,-,-,-
88,124,-,-,-,-,-,-
