raw_score,cognitive,receptive_language,expressive_language,social_emotional,gross_motor,fine_motor,adaptive_behavior
0,<50,<50,<50,<50,<50,<50,<50
1,<50,<50,<50,<50,<50,<50,<50
2,<50,<50,50,<50,<50,50,<50
3,<50,<50,52,<50,<50,51,<50
4,<50,<50,55,<50,<50,54,<50
5,<50,50,59,50,<50,57,<50
6,<50,53,62,52,<50,60,<50
7,<50,57,65,53,<50,62,<50
8,<50,60,68,55,<50,65,50
9,<50,64,71,57,<50,68,52
10,<50,67,74,59,<50,71,55
11,50,71,77,61,<50,74,57
12,52,75,80,63,<50,76,60
13,54,79,83,65,<50,79,62
14,56,82,86,67,<50,82,65
15,59,86,90,68,<50,85,67
16,61,89,93,70,<50,88,70
17,63,93,96,72,<50,90,72
18,65,97,99,74,<50,93,75
19,67,100,102,76,<50,96,77
20,70,104,105,78,50,101,79
21,72,108,108,80,52,106,82
22,74,111,111,82,54,108,84
23,76,115,114,83,57,111,87
24,78,118,117,85,59,114,89
25,80,122,120,87,61,117,92
26,83,126,123,89,64,120,96
27,85,129,126,91,66,122,98
28,87,133,130,93,68,125,101
29,89,137,133,95,71,128,106
30,91,140,136,97,73,131,108
31,94,142,139,98,76,134,111
32,96,145,142,100,78,137,113
33,100,148,144,102,80,140,116
34,102,150,146,104,83,-,119
35,104,>150,148,106,85,-,121
36,106,>150,150,108,87,-,123
37,109,-,>150,110,90,-,126
38,111,-,>150,112,94,-,129
39,113,-,>150,113,96,-,131
40,115,-,>150,115,101,-,133
41,117,-,>150,117,105,-,136
42,120,-,-,119,108,-,138
43,122,-,-,121,111,-,141
44,125,-,-,123,113,-,143
45,127,-,-,125,116,-,145
46,129,-,-,127,119,-,147
47,131,-,-,128,121,-,150
48,133,-,-,130,124,-,>150
49,135,-,-,132,126,-,>150
50,138,-,-,134,128,-,>150
51,140,-,-,136,131,-,>150
52,141,-,-,138,133,-,>150
53,144,-,-,140,135,-,>150
54,146,-,-,141,138,-,>150
55,148,-,-,143,-,-,>150
56,150,-,-,145,-,-,>150
57,>150,-,-,147,-,-,>150
58,>150,-,-,149,-,-,>150
59,>150,-,-,150,-,-,>150
