raw_score,cognitive,receptive_language,expressive_language,social_emotional,gross_motor,fine_motor,adaptive_behavior
0,<50,<50,<50,<50,<50,<50,<50
1,<50,<50,<50,<50,<50,<50,<50
2,<50,<50,<50,<50,<50,<50,<50
3,<50,<50,<50,<50,<50,<50,<50
4,<50,<50,<50,<50,<50,<50,<50
5,<50,<50,<50,<50,<50,<50,<50
6,<50,<50,<50,<50,<50,<50,<50
7,<50,<50,<50,<50,<50,<50,<50
8,<50,<50,<50,<50,<50,<50,<50
9,<50,<50,<50,<50,<50,<50,<50
10,<50,<50,<50,<50,<50,<50,<50
11,<50,<50,<50,<50,<50,<50,<50
12,<50,<50,<50,<50,<50,<50,<50
13,<50,<50,<50,<50,<50,<50,<50
14,<50,<50,<50,<50,<50,<50,<50
15,<50,<50,<50,<50,<50,<50,<50
16,<50,<50,<50,<50,<50,<50,<50
17,<50,<50,<50,<50,<50,<50,<50
18,<50,<50,<50,<50,<50,<50,<50
19,<50,<50,<50,<50,<50,<50,<50
20,<50,<50,<50,<50,<50,50,<50
21,<50,<50,<50,<50,<50,55,<50
22,<50,<50,<50,<50,<50,59,<50
23,<50,50,<50,<50,<50,63,<50
24,<50,52,<50,<50,<50,68,<50
25,<50,54,50,<50,<50,73,<50
26,<50,56,52,<50,<50,77,<50
27,<50,58,54,<50,<50,82,<50
28,<50,63,56,<50,<50,86,<50
29,<50,69,58,<50,<50,91,<50
30,<50,75,62,<50,<50,96,<50
31,<50,81,66,<50,<50,101,50
32,<50,87,69,<50,<50,106,52
33,<50,93,73,<50,<50,111,54
34,<50,99,79,50,<50,-,56
35,<50,105,84,52,<50,-,58
36,<50,112,89,55,<50,-,60
37,<50,114,94,55,50,-,62
38,<50,-,100,57,52,-,64
39,<50,-,105,59,55,-,66
40,<50,-,110,61,59,-,68
41,<50,-,114,64,63,-,70
42,<50,-,-,66,67,-,72
43,<50,-,-,68,71,-,74
44,50,-,-,70,75,-,76
45,51,-,-,72,78,-,78
46,52,-,-,75,82,-,80
47,53,-,-,77,86,-,82
48,54,-,-,79,90,-,84
49,55,-,-,81,94,-,86
50,57,-,-,83,99,-,88
51,58,-,-,86,104,-,91
52,60,-,-,88,107,-,93
53,62,-,-,90,115,-,95
54,63,-,-,92,117,-,97
55,65,-,-,94,-,-,99
56,66,-,-,97,-,-,101
57,67,-,-,99,-,-,103
58,69,-,-,101,-,-,105
59,72,-,-,103,-,-,107
60,73,-,-,105,-,-,109
61,74,-,-,108,-,-,111
62,75,-,-,110,-,-,113
63,76,-,-,112,-,-,115
64,78,-,-,117,-,-,117
65,79,-,-,-,-,-,-
66,81,-,-,-,-,-,-
67,83,-,-,-,-,-,-
68,85,-,-,-,-,-,-
69,86,-,-,-,-,-,-
70,87,-,-,-,-,-,-
71,89,-,-,-,-,-,-
72,90,-,-,-,-,-,-
73,92,-,-,-,-,-,-
74,93,-,-,-,-,-,-
75,95,-,-,-,-,-,-
76,96,-,-,-,-,-,-
77,98,-,-,-,-,-,-
78,99,-,-,-,-,-,-
79,101,-,-,-,-,-,-
80,103,-,-,-,-,-,-
81,104,-,-,-,-,-,-
82,106,-,-,-,-,-,-
83,108,-,-,-,-,-,-
84,109,-,-,-,-,-,-
85,111,-,-,-,-,-,-
86,113,-,-,-,-,-,-
87,114,-,-,-,-,-,-
88,116,-,-,-,-,-,-
