raw_score,cognitive,receptive_language,expressive_language,social_emotional,gross_motor,fine_motor,adaptive_behavior
0,<50,<50,<50,<50,<50,<50,<50
1,<50,<50,<50,<50,<50,<50,<50
2,<50,<50,<50,<50,<50,<50,<50
3,<50,<50,<50,<50,<50,<50,<50
4,<50,<50,<50,<50,<50,<50,<50
5,<50,<50,<50,<50,<50,<50,<50
6,<50,<50,<50,<50,<50,<50,<50
7,<50,<50,<50,<50,<50,<50,<50
8,<50,<50,<50,<50,<50,<50,<50
9,<50,<50,<50,<50,<50,<50,<50
10,<50,50,50,<50,<50,<50,<50
11,<50,52,53,<50,<50,50,<50
12,<50,55,55,50,<50,54,<50
13,<50,58,58,51,<50,58,50
14,<50,61,60,52,<50,62,51
15,<50,63,63,54,<50,67,53
16,50,66,65,55,<50,71,55
17,51,69,68,56,<50,75,56
18,52,72,70,58,<50,79,58
19,54,75,73,59,<50,83,60
20,55,78,75,61,<50,87,61
21,57,81,78,62,<50,91,63
22,58,84,80,64,<50,96,65
23,60,87,83,65,<50,100,66
24,61,90,85,67,<50,104,68
25,63,93,88,68,<50,108,70
26,64,96,90,70,<50,112,72
27,66,99,93,71,<50,116,73
28,67,102,95,73,<50,120,75
29,69,105,98,74,50,123,77
30,70,108,100,76,52,128,78
31,71,111,103,77,55,129,80
32,73,114,105,79,58,133,82
33,74,117,108,80,61,133,83
34,76,120,110,82,64,-,85
35,77,123,113,83,68,-,87
36,79,126,115,85,71,-,88
37,80,129,118,86,74,-,90
38,82,-,120,88,77,-,92
39,83,-,123,89,80,-,94
40,85,-,125,90,84,-,95
41,86,-,128,92,87,-,97
42,88,-,-,93,90,-,99
43,89,-,-,95,93,-,100
44,91,-,-,96,96,-,102
45,92,-,-,98,102,-,104
46,93,-,-,100,107,-,105
47,95,-,-,103,110,-,107
48,96,-,-,104,113,-,109
49,98,-,-,106,116,-,110
50,99,-,-,107,119,-,112
51,101,-,-,109,123,-,114
52,102,-,-,110,126,-,115
53,104,-,-,112,129,-,117
54,105,-,-,113,131,-,119
55,107,-,-,115,-,-,121
56,108,-,-,116,-,-,122
57,110,-,-,118,-,-,124
58,111,-,-,119,-,-,126
59,112,-,-,121,-,-,127
60,114,-,-,122,-,-,129
61,115,-,-,123,-,-,131
62,117,-,-,125,-,-,132
63,118,-,-,126,-,-,134
64,120,-,-,-,-,-,136
65,121,-,-,-,-,-,-
66,123,-,-,-,-,-,-
67,124,-,-,-,-,-,-
68,126,-,-,-,-,-,-
69,127,-,-,-,-,-,-
70,129,-,-,-,-,-,-
71,130,-,-,-,-,-,-
72,131,-,-,-,-,-,-
73,133,-,-,-,-,-,-
74,134,-,-,-,-,-,-
75,136,-,-,-,-,-,-
76,137,-,-,-,-,-,-
77,139,-,-,-,-,-,-
78,140,-,-,-,-,-,-
79,142,-,-,-,-,-,-
80,143,-,-,-,-,-,-
81,145,-,-,-,-,-,-
82,146,-,-,-,-,-,-
83,148,-,-,-,-,-,-
84,149,-,-,-,-,-,-
85,150,-,-,-,-,-,-
