raw_score,cognitive,receptive_language,expressive_language,social_emotional,gross_motor,fine_motor,adaptive_behavior
0,<50,<50,<50,<50,<50,56,<50
1,<50,<50,<50,<50,<50,58,<50
2,<50,<50,50,<50,<50,61,<50
3,<50,50,55,50,<50,63,<50
4,<50,52,62,51,<50,66,<50
5,50,58,67,54,<50,69,50
6,51,63,71,57,<50,71,51
7,53,68,76,57,<50,74,55
8,54,74,81,60,<50,76,58
9,55,79,86,63,50,79,61
10,57,84,90,65,53,82,65
11,59,89,95,68,55,84,68
12,62,94,100,71,57,87,71
13,65,102,105,74,59,89,75
14,68,109,109,76,61,92,78
15,71,113,114,79,64,95,81
16,74,118,119,82,66,99,85
17,77,123,124,85,68,102,88
18,80,127,128,86,70,105,91
19,83,133,133,89,72,107,97
20,86,137,135,92,75,109,100
21,89,141,140,96,77,112,106
22,92,143,143,99,79,114,113
23,95,148,146,103,81,117,116
24,99,150,148,107,84,120,120
25,103,>150,150,109,86,122,125
26,106,>150,>150,111,88,125,127
27,109,>150,>150,114,90,127,131
28,112,>150,>150,117,92,129,134
29,115,>150,>150,120,95,132,139
30,118,>150,>150,122,97,134,142
31,120,>150,>150,125,99,136,145
32,123,>150,>150,128,101,139,147
33,126,>150,>150,129,104,141,149
34,130,>150,>150,130,106,-,150
35,132,>150,>150,132,108,-,>150
36,134,>150,>150,135,110,-,>150
37,135,-,>150,137,112,-,>150
38,136,-,>150,139,115,-,>150
39,138,-,>150,141,117,-,>150
40,140,-,>150,143,119,-,>150
41,141,-,-,145,121,-,>150
42,143,-,-,147,123,-,>150
43,145,-,-,149,126,-,>150
44,146,-,-,150,128,-,>150
45,148,-,-,>150,130,-,>150
46,149,-,-,>150,132,-,>150
47,150,-,-,>150,135,-,>150
48,>150,-,-,>150,137,-,>150
49,>150,-,-,>150,139,-,>150
50,>150,-,-,>150,141,-,>150
51,>150,-,-,>150,143,-,>150
52,>150,-,-,>150,146,-,>150
53,>150,-,-,>150,148,-,>150
54,>150,-,-,>150,150,-,>150
