raw_score,cognitive,receptive_language,expressive_language,social_emotional,gross_motor,fine_motor,adaptive_behavior
0,<50,<50,<50,<50,<50,<50,<50
1,<50,<50,<50,<50,<50,<50,<50
2,<50,<50,<50,<50,<50,<50,<50
3,<50,<50,<50,<50,<50,<50,<50
4,<50,<50,<50,<50,<50,<50,<50
5,<50,<50,<50,<50,<50,<50,<50
6,<50,<50,<50,<50,<50,<50,<50
7,<50,<50,<50,<50,<50,<50,<50
8,<50,<50,<50,<50,<50,<50,<50
9,<50,<50,<50,<50,<50,<50,<50
10,<50,<50,<50,<50,<50,<50,<50
11,<50,<50,<50,<50,<50,<50,<50
12,<50,<50,<50,<50,<50,<50,<50
13,<50,<50,<50,<50,<50,<50,<50
14,<50,<50,50,<50,<50,50,<50
15,<50,50,51,<50,<50,52,<50
16,<50,52,54,<50,<50,56,<50
17,<50,55,57,<50,<50,61,<50
18,<50,58,59,50,<50,65,50
19,<50,61,62,52,<50,70,51
20,<50,65,65,53,<50,75,53
21,<50,68,67,55,<50,79,55
22,<50,71,70,56,<50,84,56
23,50,74,73,58,<50,89,58
24,52,77,76,59,<50,93,60
25,53,81,78,61,<50,98,61
26,55,84,81,62,<50,102,63
27,56,87,84,64,<50,107,65
28,57,90,86,65,<50,112,66
29,59,94,89,67,<50,116,68
30,60,99,92,69,<50,121,70
31,62,104,95,70,<50,125,72
32,63,107,97,72,50,130,73
33,64,110,100,73,52,130,75
34,66,114,103,75,56,-,77
35,67,117,105,76,59,-,78
36,69,120,108,78,63,-,80
37,70,125,111,79,66,-,82
38,72,-,113,81,70,-,83
39,73,-,116,82,73,-,85
40,74,-,119,84,77,-,87
41,76,-,122,85,81,-,88
42,77,-,-,87,84,-,90
43,79,-,-,88,88,-,92
44,80,-,-,90,91,-,94
45,81,-,-,91,95,-,95
46,83,-,-,93,100,-,97
47,84,-,-,94,106,-,99
48,86,-,-,96,109,-,100
49,87,-,-,97,113,-,102
50,88,-,-,100,117,-,104
51,90,-,-,104,120,-,105
52,91,-,-,105,124,-,107
53,93,-,-,107,127,-,109
54,94,-,-,108,129,-,110
55,96,-,-,110,-,-,112
56,97,-,-,111,-,-,114
57,98,-,-,113,-,-,116
58,100,-,-,114,-,-,117
59,101,-,-,116,-,-,119
60,103,-,-,117,-,-,121
61,104,-,-,119,-,-,122
62,105,-,-,120,-,-,124
63,107,-,-,122,-,-,126
64,108,-,-,-,-,-,127
65,110,-,-,-,-,-,-
66,111,-,-,-,-,-,-
67,113,-,-,-,-,-,-
68,114,-,-,-,-,-,-
69,115,-,-,-,-,-,-
70,117,-,-,-,-,-,-
71,118,-,-,-,-,-,-
72,120,-,-,-,-,-,-
73,121,-,-,-,-,-,-
74,122,-,-,-,-,-,-
75,124,-,-,-,-,-,-
76,125,-,-,-,-,-,-
77,127,-,-,-,-,-,-
78,128,-,-,-,-,-,-
79,130,-,-,-,-,-,-
80,131,-,-,-,-,-,-
81,132,-,-,-,-,-,-
82,134,-,-,-,-,-,-
83,135,-,-,-,-,-,-
84,137,-,-,-,-,-,-
85,138,-,-,-,-,-,-
86,139,-,-,-,-,-,-
87,141,-,-,-,-,-,-
88,142,-,-,-,-,-,-
